WEBSITE FORMAT,100,WEEK 1 - PROCESS & PRACTICE
INTRODUCTION,100, 
SKETCH - PROJECT IDEA,0, 
MULTIPLE SKETCHES - LOGO,0, 
IN CLASS ACTIVITY - DESIGN PROCESS,0, 
ATTENTION TO DETAIL,0, 
REFLECTIONS ,0,
EXTRA EFFORT - MORE DETAIL,0, 
,25%,
