INTRODUCTION,100,,,
SKETCH - PROJECT IDEA,100,,,
IN CLASS ACTIVITY,100,,,WEEK 1 - PROCESS & PRACTICE
ATTENTION TO DETAIL,100,,,
MULTIPLE SKETCHES - LOGO,100,,,
ORGANIZATION & FORMAT,100,,,
EXTRA EFFORT,0,,,
,86%,,,
