TESTS DIFFERENT IDEAS BEFORE SETTLING ON FINAL ,0,CARDBOARD PROTOTYPE, 
PROTOTYPE CLEARLY DESCRIBES PROJECT IDEA,0,,
DEMONSTRATES PROCESS OF MAKING,0,, 
CUTS ARE CLEAN AND STRAIGHT (USES RULER & LIGHT PASSES),0,, 
GLUE OR TAPE - JOINERY IS CLEAN,0,, 
OBJECT LOOKS REFINED - MARKINGS ARE CLEAN,0,,
DESCRIBE WHAT WAS DONE IN DETAIL,0,,
USES THE RIGHT TERMINOLOGY,0,,
REFLECTS ON IDEAS AND WHERE THEY COME FROM,0,,
WEBSITE IS ORGANIZED AND CLEAN,0,,
INCLUDES ONE LARGE GLAMOUR IMAGE OF PROTOTYPE,0,,
,0%,,
