DOCUMENT YOUR DESIGN PROCESS - STICKER,0,WEEK 3 - VINYL CUTTING,   ,
DESCRIBE STEPS IN USING MACHINE - HARDWARE,0,
DESCRIBE STEPS IN USING MACHINE - SOFTWARE,0,
IDENTIFY THE CUT PARAMETERS,0,
USE THE RIGHT TERMINOLOGY,0,
INCLUDE A LINK TO YOUR DESIGN FILES,0,x
EXTRA EFFORT - MAKE A MULTI-COLOR STICKER,0,
 ,0%,
