INTRODUCTION,100,435,40,,CAD/CAM
SKETCH - PROJECT IDEA,0,510,80,NICK,CAD/CAM
IN CLASS ACTIVITY,0,560,220,WEEK 1 - PROCESS & PRACTICE,CAD/CAM
ATTENTION TO DETAIL,0,535,290,,CAD/CAM
MULTIPLE SKETCHES - LOGO,0,550,145,,CAD 
ORGANIZATION & FORMAT,0,0,0,,CAD
EXTRA EFFORT,100,480,350,,CAD/CAM
,29%,,,,
