TASKS - IDENTIFIES MATERIALS,100,PROJECT MANAGEMENT,NOTES:
SPIRAL DEVELOPMENT - DESIGN 4 SPIRALS,75,,More detail needed in spirals.
TASKS - TASKS REQUIRED TO COMPLETE EACH SPIRAL,50,,What do you need to learn?
"TASKS - IDENTIFIES TOOLS, PROCESSES, MACHINES",50,,How much time should you give yourself?
RESEARCH 5 PROJECTS THAT RELATE,0,,
INCLUDES DESIGN THINKING EXERCISES,0,,
TASKS - SKILLS REQUIRED,0,, 
TASKS - IDENTIFIES DATES FOR COMPLETION,0,,
CLARITY & QUALITY  OF TEXT & IMAGE,0,,
EFFICIENCY - MAINTAINS SCHEDULE,0,,
,25%,,
