REVIEWS CLASS PAGE AND ASKS QUESTIONS,100,LASER CUTTING (LEVEL 1),NOTES:
INTRODUCES OBJECTIVES OF THIS ASSIGNMENT,100,,Great job! Need to fix Job Control section. Illustrator is the tool used to adjust color
IDENTIFIES KEY DESIGN ELEMENTS IN DESIGN PROCESS,100,,not Job Control. Simple fix.
DOCUMENTS BASIC MACHINE OPERATION,100,, 
IDENTIFIES SETTING IN JOB CONTROL SOFTWARE,100,,
FINISHES PRESS-FIT SAMPLE,100,,
INCLUDES LINKS TO DESIGN FILES,100,,
MORE DETAIL - PRESENTS MULTIPLE STEPS  ,100,,
COMPLETES SAFETY QUIZ,100,,
CLARITY & QUALITY  OF TEXT & IMAGE,100,,
,100%,,
