MAKES CONNECTIONS TO FINAL PROJECT,199,EAGLE CIRCUIT,NOTES:
INTRODUCES OBJECTIVES OF THIS ASSIGNMENT,100,,Section needs a bit of visual organizing.
DESCRIBES EAGLE SOFTWARE,100,,How do ground and signal work in a guitar schematic?
DOCUMENTS TECHNICAL PROCESS - EAGLE ,100,,
IDENTIFIES TOOLS WITHIN EAGLE,100,, 
INCLUDES LINKS TO LEARNING RESOURCES,100,,
INCLUDES LINKS TO DESIGN FILES,100,,
DETAIL - PRESENTS MULTIPLE STEPS  ,100,,
DESCRIBES HOW TO READ A SCHEMATIC ,0,,
CLARITY & QUALITY  OF TEXT & IMAGE,0,,
,90%,,
